"Texto de comentario","Satisfaccion general","fecha y hora",""
"Atencion
Limpieza
Servicio ","5","29/04/2023 9:02:00",""
"No había vi power nafta","4","28/04/2023 21:21:00",""
"Personal muy amanle y profesional.instalaciones limpias","5","28/04/2023 12:05:00",""
"Calidad del producto y excelente atención del personal. 
Tuve que pagar con plástico porque no me funciona la App del celular luego de haberla actualizado!!! Estoy muy molesto con esto ","5","28/04/2023 14:51:00",""
"Servicio y excelente  trato del personal","5","28/04/2023 11:35:00",""
"Por el trato y la paciencia de la empleada de la playa cuando hubo un problema con mi celular que no podía leer el código para pagar con la aplicación y ella me lo solucionó ","5","26/04/2023 23:44:00",""
"Por la calidad de la nafta y por la atención recibida","5","28/04/2023 11:00:00",""
"La atención fue excelente, soy clienta","5","28/04/2023 10:23:00",""
"Cordialidad en la atención,limpieza yrapidez","5","28/04/2023 10:05:00",""
"la atencion recibida por el personal que me ayudaron a pagar con la aplicacion de shell que se habia actualizado","5","27/04/2023 21:02:00",""
"Suelo utilizar la misma estación de servicio, cerca de mi casa, el personal que atiende es excelente, muy amable siempre.","5","28/04/2023 8:57:00",""
"Fui con una camioneta diesel y me cargaro nafta.
Y le repeti dos veces vpawer diesel. El problema es que me di cuenta cuando llegue a casa. Volvi viajando para hacer mi reclamo y me dijeron que vuelma mañana.
","1","27/04/2023 20:43:00",""
"Buena atención ","5","27/04/2023 19:05:00",""
"El trato es muy amable y la estación está muy bien ubicada ","5","27/04/2023 19:57:00",""
"Fidelidad ","4","27/04/2023 18:39:00",""
"Buena atención. ","5","27/04/2023 14:24:00",""
"Atencion. Muy buena","5","27/04/2023 11:08:00",""
"la app tarda mucho en abrir en le celular.","4","26/04/2023 16:46:00",""
"Baños, atención,  precios ","2","27/04/2023 9:25:00",""
"Porque en shell siempre me atienden muy bien","5","26/04/2023 10:15:00",""
"La app nunca arrancó, ya es la segunda vez que me pasa en la Shell de Av de los incas y Alvarez Thomas ","1","27/04/2023 5:26:00",""
"Atención rápida y eficiente. La chica no me ofreció pagar con la aplicación porque me vio que yo estaba decidido a pagar con la tarjeta.","5","26/04/2023 20:10:00",""
"Falto el 10 %  de descuento por se Miércoles. ","3","26/04/2023 19:22:00",""
"Rápida y buena atención por parte de la persona que me atendió. Luego revisé la presión de los neumáticos y el equipo funcinaba bien. ","5","26/04/2023 19:27:00",""
"Mucho tiempo de espera para que me atiendan","3","26/04/2023 19:21:00",""
"Me atendieron rápido 
Fueron muy expeditivos 
El medidor de presión de neumáticos debería estar más visible, ya que hay mucho tráfico en la zona y no se escucha el sensor o alarma.","5","26/04/2023 17:49:00",""
"Estuve satisfecho","4","26/04/2023 17:32:00",""
"Xq es el combustible de toda mi vida","5","26/04/2023 16:22:00",""
"Simpatía,eficiencia,  responsabilidad ","5","26/04/2023 11:11:00",""
"--","4","25/04/2023 12:08:00",""
"Demora muchos surtidores con solo 2 playeros","4","25/04/2023 20:16:00",""
"La atencion recibida","5","25/04/2023 13:29:00",""
"muy satisfecho en general, pero cargue ayer dia lunes para aprovechar que duplican los puntos de carga y no fue, asi, en la app me aparecen solamente los puntos normales de carga como hago cada semana. si púeden corregirlo desde ya agradecido","4","24/04/2023 21:34:00",""
"El expendedor fue muy amable, ameno y el horario que elegí, evidentmente, fue genial.","5","24/04/2023 19:35:00",""
"La atención personalizada es fundamental,  pero hay horarios que precisaria que haya mas personal y no   carguen con tanto al existente, mínimo uno por isla,  más en el horario que la gente sale de las oficinas, siempre lad chicas están con una sonrisa,  pero se que las hacen correr entre las islas de carga para que la gente no se queje,  analicen mi pedido,  por las Personas humanas,  que tratan de satisfacer rápido a los clientes para que no les llamen la atencion el encargado de planta.  graciassss.  ","5","24/04/2023 20:15:00",""
"Rapidez. Eficiencia. limpieza","5","24/04/2023 19:58:00",""
"Good attention, speed","5","24/04/2023 11:28:00",""
"Por que era muy lento el tema de cobro y para salir estaba muy complicado y tuve que hacer maniobras peligrosas ","3","24/04/2023 11:19:00",""
"Excelente atencion y muy buen precio. Y es la estacion de mi barrio.","5","23/04/2023 21:13:00",""
"muy buen trato y servicio. volvería a la misma estacióm
","5","22/04/2023 5:20:00",""
"Por la rapidez y amabilidad en la atención","5","23/04/2023 16:18:00",""
"No me hablaron, me ignoraron y me tuve que ir sin cargar combustible. Solo estaban preocupados por el cambio de turno. Ni siquiera me dijeron que los aguardara unos minutos. Hubiera comprendido. ","1","15/04/2023 22:58:00",""
"RAPIDEZ.
AMABILIDAD.
ACCESIBILIDAD
","5","23/04/2023 9:07:00",""
"Todo funcionó perfectamente y la atención fue muy cordial","5","22/04/2023 13:58:00",""
"Todo perfecto ","5","22/04/2023 8:30:00",""
"Excelente servicio y amabilidad ","5","22/04/2023 5:54:00",""
"Por la rapidez y el trato","5","21/04/2023 18:38:00",""
"excelente atención, rápìda, y servicio personal","5","21/04/2023 8:28:00",""
"atención correcta y amable.","5","19/04/2023 14:52:00",""
"La atención del personal es excelente, muy amable y atento ","5","20/04/2023 4:50:00",""
"Atención.
Productos.
Limpieza.","5","20/04/2023 17:22:00",""
"buen trato del personal","5","20/04/2023 13:46:00",""
"Me parece PATÉTICO que se cobre 50$  por usar el aire.
Por eso prefiero cargar en YPF que es de cortesía el aire","5","19/04/2023 21:24:00",""
"Es un lugar en la que me siento muy cómodo utilizando sus servicios y me permite ganar tiempo.","5","20/04/2023 8:04:00",""
"Estaría bueno, mejorar la parte de carga de los puntos y eventual premios. ","4","20/04/2023 6:41:00",""
"Ayer había muchos coches y no fue ordenada la espera ni la ubicación en las colas. No había Vpower en todos los surtidores y había que maniobrar para cambiar de surtidor. Faltaba que alguien ordene.  Lo demás, todo bien.  La persona que me atendió fue muy amable","4","19/04/2023 15:57:00",""
"Buenas Tardes - Soy Cliente de Shell desde mi juventud - En estos últimos años accedí a la aplicación y me parece mjuy bueno esto de pagar sin necesidad de andar con dinero - Vivo a una cuadra de esta Estación de servicio por lo cual mi acceso es inmediato - Las Personas que atienden siempre sopn amables y están siempre predispuestos a contestar - Incluso cuando viajo siempre cargo combustible, desayuno, o almuerzo en las estaciones Shell porque me inspiran confianza y calidad - Lamenté que sacaran sus estaciones en la ruta Bs Aires - Rosario, a donde viajo preferentemente porque tengo familia allí - Solo me resta decirles que sigan así. Son muy buenos en lo que hacen y en los servicios que prestan.Cordial Saludo","5","19/04/2023 18:43:00",""
"La atencion amable y profesional del personal; la calidad del combustible y el mantenimiento impecable del lugar.","5","19/04/2023 10:41:00",""
"soy cliente de la estación desde hace muchos años, siempre la atención 10 puntos con el diferente personal que me  ha atendido y las instalaciones  muy bien.","5","18/04/2023 15:12:00",""
"Todo bien ","5","19/04/2023 15:17:00",""
"Ya lo explique antes
Yo utilizo Amex o Visa dependiendo de las fechas de corte, y no siempre tengo todas las tarjetas conmigo.
Amex es un medio que tengo cargado en la app y aprobado, ya me pasó varias veces que dice ""el pago no pudo ser realizado"" lo que me obliga a cancelar y escanear de nuevo y usar otra tarjeta, que por suerte la tenia, pero cuyos cargos no queria aumentar. ","1","19/04/2023 10:59:00",""
"No puedo usar la app, me tome la molestia de llamar por teléfono, me mandaron un mail con un  numero de caso y nunca mas se contactaron.
Hola, gracias por contactarnos!


Te informamos que tu consulta fue derivada al área correspondiente y se encuentra registrada bajo el número de Caso 277654


En cuanto tengamos novedades del área de soporte, te contactaremos por este medio.​ ","4","19/04/2023 6:51:00",""
"Muy rápido y buena atención ","5","18/04/2023 11:54:00",""
"Atención profesional
Cordialidad del personal
Limpieza del lugar","5","19/04/2023 3:21:00",""
"Excelente la atención del playero, hasta me ofreció la promoción de los chicles y todo ","5","18/04/2023 13:46:00",""
"Empleados amables y diligentes.
Limpieza y orden en el playon ","5","18/04/2023 10:37:00",""
"Muy correcto el empleado que me atendió ","5","18/04/2023 14:19:00",""
"Nada para decir, todo bien.","4","18/04/2023 4:20:00",""
"Tuve que cambiar de surtidor porque en el que originalmente estaba no tenía combustible V Power","4","18/04/2023 7:07:00",""
"Siempre cargo en esa estación esté donde esté, voy allí ","5","17/04/2023 17:55:00",""
"Tal cual les informe en anteriores encuestas, uso permanentemente, esta estación pues me resultea cómoda y cercana. Hace ye 18años. siempre su servicio resulto muy bueno. Siempredesde su implantación use vuestra  tarjeta para hacer puntos, Hasta que me di cuenta que yo juntaba pero ustedes no permitían ese ahorro, mochando puntos porreglas que desconocía, pero que rompían la capacidad del ahorro. Todo un Argentinismo.","5","17/04/2023 12:01:00",""
"Facilidad al momento de pagar
Posibilidad de ganar y canjear puntos
Los sacramentos con membrillo y los libritos me pueden","5","17/04/2023 17:09:00",""
"Atención del personal, y calidad del combustible.","5","14/04/2023 12:34:00",""
"Muy amable el chico que me atendio. ","5","17/04/2023 10:25:00",""
"No me atendieron en orden de llegada , estaban con los cambios de turno y entre ellos estaban con algunos problenitas de turnos, por eso quede en el medio..y no me atendieron más rápido. ","2","15/04/2023 11:06:00",""
"llegue de Noche. Estacion parecía Cerrada, Iluminacion Pobre. 
No habia experto a la vista. tardo en salir. 

","2","17/04/2023 0:19:00",""
"los empleados son muy respetuosos","5","15/04/2023 9:35:00",""
"En realidad no hubo inconveniente alguno. No sé qué tendría que haberme ofrecido la estación para marcar MUY SATISFECHO. EL servico fue rápido y sin inconvenientes. Lo que esperaba. ","4","16/04/2023 9:00:00",""
"Siempre hay para mejorar ","4","15/04/2023 10:31:00",""
"La atencion en todas las estaciones es muy buena. ","5","15/04/2023 14:30:00",""
"Muy buena ubicación-Muy buena atrncion","5","16/04/2023 8:23:00",""
"La playera fue muy, muy gentil pero no tenía conocimientos sobre el auto. Faltaba agua en un bidón y no sabía qué poner. Casi poner agua de una regadera y una compañera le dijo que iba destilada. Preferí volver otro día. La chica se mostró muy dispuesta a resolver pero no me dió seguridad. No había nadie que supiera para asistirla","4","15/04/2023 12:06:00",""
"Buena calidad de la nafta ","5","15/04/2023 15:51:00",""
"Por atención y calidad del servicio","5","15/04/2023 11:37:00",""
"Me atendieron bien y rapido pese a que habia otros autos","4","15/04/2023 6:13:00",""
"No ofrecieron limpieza de parabrisa
No ofrecieron chequear el aceite
Hay poco personal para todos los surtidores 
","3","13/04/2023 17:19:00",""
"Cercania, cordialidad accesibilidad ","4","14/04/2023 17:08:00",""
"faltaba combustible.
solo había disponible nafta super en dos surtidores
los playeros no organizaron bien las prioridades de atención
4 motos pasaron por delante de la fila de autos nadie se hizo cargo de las prioridades
cuando llegó el turno de atenderme el playero se disculpó, pero 20 minutos para atender dos coches y dejar pasar por delante 4 motos no es un tiempo razonable.
con las disculpas no gano nada.","1","14/04/2023 16:03:00",""
"......","5","14/04/2023 7:42:00",""
"X la buena atención ","4","14/04/2023 19:22:00",""
"El señor que me atendio, muy amable y muy bien predispuesto.
Eso hace la diferencia","5","14/04/2023 15:00:00",""
"Fue rápido efectivo y cordual","5","13/04/2023 21:20:00",""
"Es muy incómodo el ingreso y egreso","4","14/04/2023 12:37:00",""
"Rapidez en la carga  de combustible y muy buena atención del personal","5","13/04/2023 20:49:00",""
"en realidad voy hace años me gusta la atencion del personal tanto de carga de combustible como para tomar cafe las dos que voy son las de mitre y melo villa martelli vivi ahi y haca dos años aca en capital volvi a la de el triangulo de virrey del pino y jose hernadez cramer","5","13/04/2023 11:47:00",""
"Me atendieron muy bien! Efectivo yrapudo","5","14/04/2023 7:38:00",""
"La atención  muy buena 👌 gracias  ","5","13/04/2023 11:25:00",""
"Viaje x el interior y las estaciones  impecables los baños principalmente hasta felicite  a un empleado en paso de los libres","5","13/04/2023 4:22:00",""
"  Se respondió positivamente a los pedidos, pero no hubo una oferta de realizar alguna tarea en el auto, como por ejemplo llenar el sapito o medir algo, cosa que sì hacen en otras instalaciones de la misma marca.","4","06/04/2023 6:17:00",""
"Simplemente no entiendo la aplicación y ya no sirve mi tarjeta de puntos. Voy siempre a esa estación de servicio porqie es muy eficiente","4","13/04/2023 6:57:00",""
"Playero no ofrece servicio agua aceite limpieza de vidrios. Te hace sentir un numero, a diferencia de la señora que está y es muy amable. Sigo llendo por que esta a tres cuadras de mi casa. ","3","13/04/2023 3:49:00",""
"No funciona la aplicacion y no lo solucionan","1","13/04/2023 3:58:00",""
"Encontré lo que necesitaba.  Está abert9 24 horas. Me gusta el servicio de Shell","5","12/04/2023 17:31:00",""
"Muy buena atención.","5","13/04/2023 3:12:00",""
"Rapidez, cordialidad","5","13/04/2023 5:29:00",""
"Muy buena atención. Pero de ahí a salir a recomendar que amigos vayan a cargar a esa estación…","4","12/04/2023 20:01:00",""
"Falta de experiencia de la empleada de playa
Faltantes en la tienda
Trabajé en el ramo y lo conozco muy bien ","4","12/04/2023 16:44:00",""
"Atención rápida
Pude aprovechar el descuento con la aplicación 
Amable atención ","5","12/04/2023 17:22:00",""
"Todo correcto            
","5","12/04/2023 17:37:00",""
"me fui rapido y me atendieron cordialmente","5","12/04/2023 13:54:00",""
"Atención   muy buena ","5","12/04/2023 13:59:00",""
"Todo perfecto","5","12/04/2023 8:53:00",""
"N/A","4","11/04/2023 17:20:00",""
"Pocas promociones. Mantenimiento de instalaciones ","3","12/04/2023 6:52:00",""
"Buena onda. Rápido. Buen servicio.","5","11/04/2023 16:08:00",""
"La atención recibida, el personal siempre esta bien predispuesto gentil y educado.
Los productos siempre son de muy buena calidad, en general en todas las shell, siempre busco una shell en la zona para desayunar o merendar, alguna vez también almorcé.
No quiero olvidarme de mencionar el combustible, fue la primer nafta que lleno mi tanque cuando saque el auto del concesionario y lo seguirá llenando.","5","11/04/2023 6:43:00",""
"la limpieza de las mesas, lo incomodo de los boxes y la limpieza de los asientos y los precios, te cobran como si fuera una confiteria y es solo una estacion de servicio","4","11/04/2023 14:29:00",""
"Por la atencion recibida, por la facilidad al efectuar el pago, por la rapidez en la atencion","5","10/04/2023 19:33:00",""
"Muy buena atención por parte del playero.","5","10/04/2023 16:52:00",""
"El personal fue muy amable y la ubicación es muy conveniente para mi.","5","10/04/2023 21:50:00",""
"Cordialidad y eficiencia de su personal. Fácil acceso a sus instalaciones. Moderno Shop.","5","07/04/2023 7:22:00",""
"La atención... Excelente el sr q atendió
","5","10/04/2023 11:44:00",""
"buena atencion
rapida aterncion
tratao cordfial","5","08/04/2023 12:10:00",""
"Excelente atención y predisposición del personal.","5","08/04/2023 16:06:00",""
"La atencion del empleado. La aplicacion es practica.El servicio fue rapido","4","08/04/2023 18:33:00",""
"Rapidez y sencillez para utilizar servicios
Y muy fácil acceso
","4","09/04/2023 14:24:00",""
"por la calidad de combustible","5","08/04/2023 17:46:00",""
"La atención es excelente. Hace años que soy vliente","5","09/04/2023 7:54:00",""
"Eficiencia rapidez y cordiales ","5","09/04/2023 6:23:00",""
"El personal es siempre super atento. 
La marca me inspira confianza siempre.
No me importa salirme de mi recorrido para buscar una estación de la marca.","5","08/04/2023 22:10:00",""
"Atención 
Trato
Cordialidad y reconocimiento","4","08/04/2023 13:01:00",""
"la atencion de los que cargan combustible, la cercania con mi casa","5","07/04/2023 15:37:00",""
"Cumplieron en tiempo y forma.
Complicada la entrada y salida
La atención del personal ","5","07/04/2023 19:49:00",""
"Las islas de carga de combustibles en el piso tienen flechas que indicar el sentido de ingreso a las mismas, las cuales no eran respetadas por los conductores ni controladas por los despachantes de cumbustibles","5","05/04/2023 19:37:00",""
"Rápida atención, personal correcto y disponibilidad surtidores.","5","06/04/2023 20:27:00",""
"Atención de la vendedora
Tiempo bueno
Rapidez
","5","06/04/2023 16:34:00",""
"Porque cubre mis expectativas actuales.","5","06/04/2023 13:23:00",""
"CALIDAD Y AMABILIDAD EN LA ATENCIÓN","5","04/04/2023 17:15:00",""
"No me hicieron el descuento del 10% siendo miércoles ","1","05/04/2023 22:20:00",""
"cargo todos los miércoles en ésa Estación. Utilizo Código QR para aprovechar el descuento del V Power. ësta vez me pedía registrarme con email y contraseña. Todos los miércoles. Todos los miércoles. Y me pide me registre?. Y perdí el descuento. Se puede recuperar el Valor?. Agaurdo su respuesta. Gracias.","2","05/04/2023 10:11:00",""
"Muy amale el trato del expendedor.
 Muy buenos los beneficios del programa shell box.
Recientemente cargué en otra estación en córdoba y la experiencia también fue muy buena","4","05/04/2023 20:25:00",""
"Muy sencillo: POR TODO","5","05/04/2023 21:02:00",""
"Respeto la fuente de empleo de los playeros, pero creo firmemente que desde hace años el sistema de carga de combustible debería ser autoservicio, como en la mayoría de los países modernos. Sería más rápido y reduciría los costos operativos de las estaciones, y por ende debería redundar en igual ahorro para los consumidores. ","4","02/04/2023 9:07:00",""
"Por el tiempo de espera","4","05/04/2023 16:44:00",""
"atencion del personal ","5","05/04/2023 23:20:00",""
"Xq me gusta usar combustibles shell y x su buena atención ","5","05/04/2023 18:32:00",""
"¿Cuando van a modificar el importe de descuento? Debería estar por todos los aumentos en $1000","4","05/04/2023 16:22:00",""
"salvo el tema baños mucho olor a orin, despues la atencion excelente","4","05/04/2023 13:14:00",""
"Muy buena atención. 10 puntos las instalaciones.","5","05/04/2023 14:17:00",""
"Orden, buena disposición del personal","5","05/04/2023 12:28:00",""
"Excelente atención de quien me atendió facilidad en entender mi pedido y profesionalismo en el servicio ","5","05/04/2023 7:49:00",""
"La app es lenta y retrasa mucho la operatoria","4","05/04/2023 10:47:00",""
"Atencion cordial
Rapidez
","5","04/04/2023 22:33:00",""
"Todo de diez.
Excelente atención.","5","04/04/2023 17:43:00",""
"Muy atentos y con respeto anual publico y la atención fue muy buena están muy bien orientados los trabajadores regresaría mil veces ala estación de servicio ","5","04/04/2023 13:08:00",""
"No puedo usar la Shell OC. Ya les mandé mail contándoles el problema,, y me responden cualquier cosa. Una vergüenza que sean tan cabezas. ","1","04/04/2023 11:51:00",""
"por que estoy intentando por todos loes medios para cargar mesdios de pago y es  rechaazado","1","01/04/2023 9:33:00",""
"excelente atención por parte del personal ","5","04/04/2023 0:04:00",""
"Por algunos momentos en que se formaba una fila para la atención y la higiene del baño.","4","03/04/2023 12:43:00",""
"Amabilidad de la empleada y rapidez en el servicio.","5","03/04/2023 11:37:00",""
"La atención de personal impecable, la amabilidad, el tiempo de espera, solo implementarla más días de promociones ","5","03/04/2023 14:49:00",""
"El shop está perfecto.
El trato de los playeros.
Muy eficiente y dinámicos.
PERO LOS BAÑOS SON UNA MUGRE ASQUEROSA Y PODRIDA","5","02/04/2023 18:35:00",""
"Fast service
neat shop
Employees with good disposition","5","02/04/2023 17:20:00",""
"Estoy satisfecho. Pero insisto siempre en que los accesos que tiene la estación de servicio no son los mejores.","4","02/04/2023 16:40:00",""
"Cordialidad del empleado","5","31/03/2023 13:18:00",""
"No representonuna perdida de mintienpo, fue rapido y sencillo","5","02/04/2023 14:38:00",""
"Poco personal, un cliente le insumió mucho tiempo y no me limpiaron los vidrios","3","02/04/2023 10:53:00",""
"Muy sastifecho ,en la atención del personal y productos  ","5","01/04/2023 8:36:00",""
"No tengo quejas, todo bien.","4","01/04/2023 14:08:00",""
"La atención y amabilidad ","5","01/04/2023 13:38:00",""
"Atención y trato recibido.","5","31/03/2023 13:16:00",""
"Por la amabilidad del personal. La rapidez y lporque el producto Shell es sobresaliente ","5","31/03/2023 10:12:00",""
"buena atención y muy amable el personal ","5","31/03/2023 15:07:00",""
"Por la atención, proximidad a mi domicilio y servicios ofrecidos.","5","31/03/2023 14:17:00",""
"Muy buena predisposición del personal para la atención","5","31/03/2023 16:24:00",""
"Atencion al cliente / Agilidad. 
Atencion al cliente / Agilidad. 
Atencion al cliente / Agilidad. ","4","30/03/2023 17:05:00",""
"En general estuvo todo bien salvo que eran varios en el local pero solo uno atendiendo a los clientes, lo que generaba que hubiera que esperar","4","30/03/2023 18:55:00",""
"Poco personal
No ofrece limpieza parabrisas 
Espera para toda la atención ","3","30/03/2023 15:34:00",""
"La persona que me atendió fue muy correcta y muy amable.","5","30/03/2023 12:30:00",""
"Simplemente porque el  ""diez"" no es fácil de ganar .","4","30/03/2023 6:25:00",""
"Rapidez, amabilidad y profesionalidad en la prestación del servicio requerido.","5","29/03/2023 15:03:00",""
"mayor experiencia ","4","29/03/2023 17:33:00",""
"Rápido y bien atendido","5","29/03/2023 20:30:00",""
"Creo haber marcado que no estuve del todo satisfecho con el programa de puntos. Cuando había tarjeta shellpass o algo así siempre costaba que estuviera vigente ","4","29/03/2023 14:46:00",""
"Muy satisfecha con el trato recibido ","5","29/03/2023 15:55:00",""
"Muy contento con la atención y labor de los playeros .. .......muy atentos y buena comunicación ","5","29/03/2023 12:39:00",""
"muy cordial el personal de la playa","5","29/03/2023 10:15:00",""
"Resalto la amabilidad del personal de playa en éste horario matutino, estación a la cual concurro habitualmente","5","29/03/2023 7:56:00",""
"no me permite usar la aplicacion. No puedo usarla poniendo mi clave solo con la huella y no funciona","1","29/03/2023 3:12:00",""
"Siempre atienden muy bien y rápido.
Los productos son de excelente calidad.
Prefiero pagar un poco más el combustible y saber que el auto funciona muy bien.","5","28/03/2023 12:03:00",""
"Atenciòn rápida. Muy buen servicio. La aplicacón funciono perfecto y el pago fue rapidisimo","5","28/03/2023 9:06:00",""
"Disposición al servicio. Capacidad para prestarlo.Profesionalismo","5","28/03/2023 3:29:00",""
"Atención al cliente impecable, servicios disponibles y calidad del combustible","5","27/03/2023 14:56:00",""
"Porque siempre es muy cordial el trato ,en la mayoría de las shell
Lo de shell box me parece un acierto
Salvo que la sacaron los lunes","5","27/03/2023 15:25:00",""
"Voy a shell por calidad de los productos y atención del personal. ","5","27/03/2023 10:35:00",""
"Hace muchos años qué unicamente cargo en esa estación + de 20 años. Menos cuando viajo y siempre cargo en Shell.
Lo que no estoy conforme solamente y la tengo en observación, con la anterior tarjeta Shell de Fidelización se quedaron con todos mis puntos. Ademas que por un reglamento amañado se perdían puntos que daban por vencidos, cuando la conducta del usuario era su ahorro.","5","26/03/2023 17:37:00",""
"me atendieron bien y rapido","5","25/03/2023 7:52:00",""
"Siempre es la excelencia en atención ","5","26/03/2023 18:25:00",""
"Estuvo normal la atencion sin ser mejor que otras shell","3","25/03/2023 11:26:00",""
"Me atendieron muy bien, me ofrecieron otros servicios y el personal me trato con mucha educación y espíritu servicial
","5","25/03/2023 10:22:00",""
"Exelente el personal ","5","25/03/2023 7:58:00",""
"Trato cordial y buenas instanalciones","5","24/03/2023 16:26:00",""
"Atencion. 10 puntos","5","23/03/2023 18:48:00",""
"Amabilidad en el trato
Calidad del servicio
","5","25/03/2023 7:20:00",""
"Por el lugar donde está ubicado tuve que hacer muchas maniobras para verificar la presión de mis neumáticos y agregarles un poco de presión.","4","23/03/2023 19:55:00",""
"the gasoline gives me","5","24/03/2023 11:28:00",""
"Por la calidad del combustible y por la atención que recibo siempre. ","5","23/03/2023 13:43:00",""
"Siempre la atención del personal es maravillosa. 
Saludos ","5","23/03/2023 10:53:00",""
"Pedí medir presión de neumáticos y el playero me contestó : vaya al sector que alguien la atenderá.Me retiré sin el servicio","2","23/03/2023 5:23:00",""
"BUENA  ATENCION
PROXIMIDAD A MI DOMICILIO
COSTUMBRE DE CARGAR SIEMPRE EN EL MISMO LUGAR","5","23/03/2023 6:33:00",""
"No es posible que tengo la app de Shell y cuando la quiero usar me pregunten el email y contraseña y no puedo pagar perdiendo tiempo por favor revean gracias ","5","23/03/2023 6:48:00",""
"Excelente la atención de la persona que me atendió. ","5","22/03/2023 12:15:00",""
"Siempre cargo Shell, me genera seguridad y confianza . Jamás tuve problemas. No cargo otras marcas a menos que sea una cuestión de fuerza mayor ","5","22/03/2023 20:55:00",""
"Siempre me atienden muy bien y son muy diligentes y amables. ","5","22/03/2023 20:22:00",""
"Muy buena atención del personal","5","22/03/2023 14:23:00",""
"Me atendio en la carga de combustible una persona , llamada Rodrigo , muy buerna atencion , sin pedirle , me limpio los vidrios de adelante y atras se comunico muy amablemente , impecable la atencion . Para felicitarlo sobresale de muchos que trabajan en las estaciones Shell 
","5","22/03/2023 16:37:00",""
"Voy a Shell por la calidad de los productos","5","22/03/2023 13:13:00",""
"Deben subir el tope de descuento! Una miseria ","4","22/03/2023 14:47:00",""
"Problemas con la aplicación canje de puntos.
NO PUDE CARGAR LAS MILLAS","5","22/03/2023 14:34:00",""
"La ubicacion del sector de carga de aire, es incomodo habia cola y se tarda demasiado.
deberian ubicar otra manquera de aire en un lugar diferente","4","21/03/2023 16:13:00",""
"Atendieron muy bien la carga de combustible.
Atendieron muy bien el pago.
Atendieron muy bien la verificación y presión de los neumáticos.","5","09/03/2023 9:07:00",""
"Demoraron demasiado en atenderme cuando había personal que podía hacerlo y no lo hizo.","2","22/03/2023 6:27:00",""
"eficiente ágil y rápido ","5","22/03/2023 7:18:00",""
"Porque todo el conjunto me hace sentir cómodo, la atención es muy buenas y me gusta la limpieza dde las instalciones.","5","19/03/2023 10:30:00",""
"Por comodidad por limpieza por atención  por lugar muy agradable y muy bien refrigerado tranquilo
","5","17/03/2023 9:56:00",""
"La app no arrancó","4","21/03/2023 2:39:00",""
"Mala predisposición. Trato que cierta violencia para cerrar tanque de nafta cuando solicite limpieza de vidrios traseros. No puedo adjuntar foto para que vean. ","2","21/03/2023 3:32:00",""
"La exelente atención del personal sr juan","5","21/03/2023 3:39:00",""
"Son muy amables siempre.","5","18/03/2023 18:47:00",""
"La amablidad de los atendente
","5","20/03/2023 15:37:00",""
"Speed
Attention
ease of access","5","20/03/2023 7:46:00",""
"La atención es muy buena. La rapidez para la atención.  La limpieza de las instalaciones ","4","20/03/2023 11:20:00",""
"Salvo el olor muy feo en el baño, probablemente por quedar orina en forma resifual en los mingitorios, lo demás muy bien","5","19/03/2023 20:04:00",""
"Excelente estación ","5","18/03/2023 2:22:00",""
".","5","19/03/2023 13:06:00",""
"No tengo tiempo
Pero hay q ser más rápido en la atención
La aplicación lenta para conectar
Más día de descuento","3","16/03/2023 20:11:00",""
"Buena atención.
Rapidez.
Amabilidad.","5","18/03/2023 7:38:00",""
"Por el servicio y la atención del personal  , siempre bien predispuestos , ","5","18/03/2023 4:40:00",""
"Muy buena atención. Rápida. Cordial.","5","18/03/2023 8:21:00",""
"Atienden muy bien. Son muy amables todos los empleados. La variedad de productos me parece que está muy bien seleccionada. Hay cosas que tienen un precio muy elevado frente a otras estaciones de servicio pero bueno. Tienen muchos pro y pocos contras.","5","16/03/2023 18:39:00",""
"Rápida atención y amabilidad de la persona que me atendió ","5","16/03/2023 17:45:00",""
"Es muy 3ficiente en calidad y atencion","5","16/03/2023 14:33:00",""
"Fui el miercoles a la noche para aprovechar el descuento, pero tardaron TANTO en atenderme que pasaron las 12 y cuando me cobraron ya era jueves, no pude usar el descuento.","2","16/03/2023 0:04:00",""
"Muy comodo buen servicio y  ambiente bjeno","5","10/03/2023 3:32:00",""
"atención de los playeros ,
productos del local ofrecidos","5","15/03/2023 14:35:00",""
" muy buena atencion, aunque por la noche hay poco personal","5","15/03/2023 14:09:00",""
"Solo falto la limpieza de las mesas y el café no tan rico como siempre, el resto muy bueno ","4","15/03/2023 6:00:00",""
"Horario pico mucha espera ","4","15/03/2023 20:37:00",""
"Rapidez en la atención de la empleada, amable y atenta a mis necesidades. ","5","15/03/2023 7:38:00",""
"Por buena atención del personal","5","15/03/2023 11:04:00",""
"Profesionalismo, responsabilidad y seriedad con el laburo desarrollado por el personal presente.","5","15/03/2023 10:29:00",""
"Queda en el recorrido habitual para el trabajo. Se transforma en atención grata, placentera para comenzar una jornada. Su personal dignifica su trabajo y realza la Estación","5","15/03/2023 8:15:00",""
"La persona que me estaba atendiendo y se ofrecio a revisar el agua y el aceite se retiro y envio otra compañera que muy bruscamente intento abrir el capot y rompio la traba de la cerradura, luego se fue y volvio la Srta Rocio que gentilmente se ofrecio a solucionar el problema","1","14/03/2023 19:01:00",""
"El servicio de  esta estación de Shell es satisfactorio. Quizá el egreso en particular es un poco doficultoso pòr el tránsito que hay por la calle de la que debo salir. ","4","14/03/2023 12:04:00",""
